domain,item,status,evidence_level,confirmed_fact,allowed_claim,forbidden_claim,primary_source,next_required_evidence
model,original_mjcf,FROZEN,D,"ff_master_ultra.xml hash 89619295...4353db; compiles with 32 joints 31 actuators 67 sensors","IMMUTABLE_SIMULATION_MODEL_BASELINE","CALIBRATED_MJCF","phase1_report.md; phase3c_current_inertial_provenance.csv","Parameter-specific A/B/C physical evidence"
model,x2_limit_derivative,FROZEN,A/D,"Official limit candidates are represented in a derived 30-actuator model","DERIVED_X2_LIMIT_EVALUATION_MODEL","PHYSICAL_SIGN_OR_ZERO_CONFIRMED","phase1_report.md; joint_mapping.csv","Official axis/zero convention plus physical verification"
mapping,joint_name_and_index,READY,A/B/C,"Live JointStateArray names and group indices are confirmed","HARDWARE_NAME_INDEX_MAPPING_CONFIRMED","PHYSICAL_AXIS_MAPPING_CONFIRMED","robot_joint_state_schema.md; phase2h_sign_zero_evidence.md","None for name/index scope"
mapping,physical_sign,BLOCKED,C/D,"Preset mirroring and limit relationships provide candidates only","SIGN_MISMATCH_CANDIDATE or FIELD_TEST_EVIDENCE","PHYSICAL_SIGN_CONFIRMED","phase3c_joint_sign_zero_evidence.md","Documented axis convention or isolated known-direction physical observation"
mapping,physical_zero_and_encoder_offset,BLOCKED,D,"Standing equilibrium and preset endpoints are not encoder datums","ZERO_UNKNOWN","HARDWARE_ZERO_CALIBRATED","phase3c_joint_sign_zero_evidence.md","Known physical datum pose plus measured encoder position and offset procedure"
real_data,heart_capture,READY,C,"Read-only six-stream capture with >5 s pre/post and monotonic timestamps","ACCEPTED_REAL_OUTPUT_RESPONSE_EVIDENCE","MC_INTERNAL_COMMAND_CAPTURED","phase2d_capture_quality_report.md; phase2e_phase2f_final_report.md","None for output-response reuse"
real_data,wave_right_capture,READY,C,"Independent native MC preset 1002 capture with sufficient pre/post","INDEPENDENT_REAL_OUTPUT_RESPONSE_VALIDATION","CONTROLLED_SINGLE_JOINT_INPUT","phase3av_capture_quality_report.md; phase3av_final_gate.md","None for output-response reuse"
real_data,clap_capture,READY,C,"Independent native MC preset 3017 capture; real hand contact confirmed","THIRD_MOTION_BLIND_VALIDATION_EVIDENCE","GENERAL_COLLISION_EXEMPTION","phase3bv_clap_capture_quality.md; phase3bc2_real_clap_contact_evidence.md","None for frozen validation reuse"
controller,arm_tracking,READY,D,"Heart and Wave shoulder/wrist lag and RMSE improved","ARM_TRACKING_GENERALIZES; SIMULATION_ONLY","REAL_KP or REAL_KD","phase3a_before_after_report.md; phase3av_final_gate.md","Additional independent motions for broader coverage"
controller,standing_reference,PARTIAL,D,"Simulation knee equilibrium offset was substantially reduced","SIMULATION_REFERENCE_ALIGNMENT","HARDWARE_ZERO_CALIBRATION","phase3a_standing_reference_report.md","Physical sign/zero and independent standing-pose definition"
controller,constraint_aware_safety,READY,D,"Tested contact/limit/saturation/fall chain resolved; 8/8 perturbations and 12/12 rehearsal pass","CONTACT_SAFETY_ROBUST for tested simulation conditions","REAL_ROBOT_SAFETY_CERTIFIED","phase3ax_final_gate.md","Physical collision/contact and safety validation"
controller,motion_conditioned_balance,PARTIAL,D,"Hard safety and arm tracking preserved","SIMULATION_MOTION_CONDITIONED_BALANCE_CANDIDATE","VALIDATED_BALANCE_RESPONSE_BASELINE","phase3ay_final_gate.md","Independent motions with sufficient leg/lateral excitation and closed mapping"
controller,balance_amplitude_and_timing,BLOCKED,D,"Heart and Wave do not simultaneously pass response bands","BALANCE_RESPONSE_MISMATCH_REMAINS","BALANCE_CONTROLLER_GENERALIZES","phase3ay_final_gate.md","More independent measured motions after physical mapping closure"
physical_sensitivity,lower_limb_mass_direction,READY,D,"Heart Wave and Clap support a repeatable improving response direction","CROSS_MOTION_VALIDATED_PHYSICAL_SENSITIVITY_DIRECTION","REAL_X2_LOWER_LIMB_MASS_PLUS_8_PERCENT","phase3bv_final_gate.md; phase3c_final_gate.md","Independent physical mass properties"
physical_parameter,lower_limb_mass_magnitude,BLOCKED,D,"No independent physical mass source supports magnitude","REAL_PARAMETER_MAGNITUDE_UNIDENTIFIED","HARDWARE_MASS_IDENTIFIED","phase3c_mass_evidence.md","Manufacturer/CAD or measured per-link mass for exact configuration"
physical_parameter,link_com,BLOCKED,E,"Only asset-family/model values exist","COM_SOURCE_UNKNOWN","REAL_COM_CALIBRATED","phase3c_mass_evidence.md","Traceable CAD/metrology CoM and frame definition"
physical_parameter,inertia_tensor,BLOCKED,E,"Only asset-family and SDK simulator-lineage values exist","INERTIA_PARAMETER_EVIDENCE_NOT_READY","HARDWARE_INERTIA_IDENTIFIED","phase3c_mass_evidence.md","Traceable inertia tensors with coordinates configuration and uncertainty"
provenance,pelvis_inertial,PARTIAL,A/D/E,"Compiled mesh-derived mass 5.031810659 kg differs from same-bundle URDF 3.523487 kg","MODEL_CONVERSION_PROVENANCE_DISCREPANCY","TRUE_PELVIS_MASS_IDENTIFIED","phase3c_mass_evidence.md","Independent physical pelvis/assembly mass properties"
imu,message_and_relative_response,PARTIAL,B/C,"Topics types frame_id and relative response are observable","RELATIVE_IMU_AUXILIARY_METRICS","ABSOLUTE_IMU_ALIGNMENT","phase3c_imu_transform_evidence.md","Deployed raw axes driver transform calibration and TF chain"
